Student_ID,Student_name,Year,CGPA,HACK_PART,PAP_PUB,Cod_Const,Total_Awards,TEA_ASST,CONST_SCORE,CORE_CRS_GRD,EAA,Overall_Score
349,John Smith,2021,6.84,0,0,2,2,1,8.6,42.37,1,63.81
350,Michael Williams,2021,2.21,0,0,1,4,1,4.44,83.81,3,99.46
351,Jane Johnson,2021,5.26,0,3,1,4,1,3.66,20.89,8,46.81
352,David Brown,2020,7.39,3,4,1,1,0,5.23,95.6,7,124.22
353,Sophia Jones,2020,1.92,0,3,5,2,0,9.23,31.21,7,59.36
354,Chris Miller,2020,9.34,1,5,4,5,1,0.94,74.13,5,105.41
355,Jane Garcia,2021,8.43,1,2,5,6,0,2,57.05,6,87.48
356,Sarah Williams,2021,6.79,2,3,1,6,0,6.71,57.11,4,86.61
357,David Jones,2021,9.52,0,2,2,7,0,7.31,20.56,4,52.39
358,Sophia Brown,2021,9.53,3,4,3,4,1,5.91,56.47,1,87.91
359,Chris Smith,2020,6.37,0,2,4,5,0,7.45,92.49,10,127.31
360,Michael Brown,2021,7.72,1,3,2,5,1,4.72,26.98,3,54.42
361,Emily Garcia,2021,6.68,1,5,6,4,1,1.02,31.1,9,64.8
362,Sarah Miller,2020,8.01,2,0,4,1,0,3.48,45.8,10,74.29
363,Alex Jones,2020,7.29,3,1,2,7,1,0.68,48.15,5,75.12
364,John Williams,2021,2.75,1,0,5,0,1,2.4,35.68,5,52.83
365,John Brown,2020,9.7,0,5,3,1,0,6.4,67.54,6,98.64
366,David Davis,2021,9.08,0,1,1,0,1,4.08,70.34,7,93.5
367,Jane Johnson,2020,9.65,0,1,4,4,0,7.3,22.57,9,57.52
368,Chris Jones,2021,1.02,3,5,2,5,0,0.9,65.81,8,90.73
369,Chris Johnson,2020,5.29,0,3,1,5,0,8.91,57.34,6,86.54
370,Chris Smith,2020,2.05,2,0,4,2,1,6.08,26.61,1,44.74
371,Michael Williams,2020,9.27,0,3,1,4,0,4.39,75.2,7,103.86
372,Michael Rodriguez,2021,7.42,1,2,2,2,1,6.11,56.65,1,79.18
373,Sarah Brown,2020,7.57,1,5,5,5,0,1.06,67.05,10,101.68
374,Emily Garcia,2021,8.92,1,4,5,0,0,9.49,56.61,4,89.02
375,Alex Rodriguez,2020,3.68,3,3,3,7,0,4.71,91.06,2,117.45
376,John Johnson,2020,4.27,2,5,3,3,0,0.8,98.86,8,124.93
377,Sarah Garcia,2020,8.99,2,4,1,1,1,8.42,29.68,9,65.09
378,Emily Jones,2021,2.86,0,3,6,5,0,7.83,73.52,2,100.21
379,Chris Garcia,2020,7.91,0,4,1,6,0,8.89,56.64,10,94.44
380,Sophia Johnson,2021,2,3,2,1,2,1,7.7,42.88,7,68.58
381,Jane Brown,2020,3.53,2,3,1,0,1,3.88,38.2,2,54.61
382,Sarah Rodriguez,2020,4.05,0,3,6,7,0,3.96,21.23,10,55.24
383,Chris Miller,2020,8.57,3,5,6,2,1,4.74,52.62,2,84.93
384,Emily Rodriguez,2021,7.8,0,4,6,3,0,3.18,64.44,10,98.42
385,John Martinez,2020,8.87,1,1,3,6,0,9.97,88.96,9,127.8
386,David Davis,2020,3.82,3,3,3,2,0,1.83,20.56,1,38.21
387,Michael Davis,2020,5.02,1,4,5,5,0,5.93,78.47,2,106.42
388,Laura Davis,2020,3.89,2,0,3,6,1,7.98,21.19,10,55.06
389,Chris Davis,2020,7.03,1,4,1,1,0,9.56,45.48,3,72.07
390,David Williams,2021,7.37,3,2,4,4,0,1.54,74.93,8,104.84
391,David Williams,2021,6.05,3,3,4,6,1,1.17,47.97,2,74.19
392,Sophia Brown,2020,5.93,1,4,3,2,1,1.48,44.67,7,70.08
393,Laura Jones,2021,3.11,2,0,1,5,0,8.01,97.37,7,123.49
394,Jane Garcia,2020,5.84,2,1,4,0,0,0.73,49.41,8,70.98
395,Laura Davis,2021,1.19,1,2,6,7,0,7.61,97.04,5,126.84
396,Alex Smith,2020,8.42,0,0,2,2,0,7.97,53.11,5,78.5
397,Laura Jones,2020,6.85,3,0,1,1,0,0.65,88.19,7,107.69
398,Emily Johnson,2021,6.38,1,2,6,7,0,4.95,47.26,6,80.59
399,Sarah Williams,2021,5.19,1,2,6,5,1,6.5,25.79,8,60.48
400,Laura Johnson,2020,1.75,2,0,3,5,1,9.81,26.48,6,55.04
401,Emily Williams,2021,6.82,2,3,4,1,0,7.35,42.34,6,72.51
402,Michael Garcia,2020,2.48,3,4,4,4,1,4.28,24.17,8,54.93
403,Emily Johnson,2021,8.45,1,2,4,2,1,3.97,35.09,9,66.51
404,David Davis,2021,6.61,2,1,2,7,0,3.48,43.37,5,70.46
405,Chris Jones,2020,5.71,0,3,6,5,0,7.93,81.3,4,112.94
406,Laura Garcia,2020,9.8,3,5,4,7,1,3.33,86.21,7,126.34
407,Laura Garcia,2020,6.54,3,5,3,7,0,2.58,85.61,2,114.73
408,David Smith,2021,6.87,1,3,6,3,0,10,99.39,7,136.26
409,Emily Williams,2020,7.1,1,1,2,6,1,8.25,46.08,9,81.43
410,Laura Jones,2021,1.62,2,2,1,2,1,8.04,70.01,8,95.67
411,Michael Brown,2020,6.86,2,2,4,5,1,1.95,98,7,127.81
412,Sophia Rodriguez,2020,7.69,2,3,5,0,0,0.77,80.32,9,107.78
413,David Garcia,2021,9.82,1,5,3,3,1,4.12,57.01,5,88.95
414,Emily Garcia,2021,5.55,1,2,3,4,0,3.07,37.6,7,63.22
415,Emily Martinez,2020,2.15,1,5,4,6,0,2.74,89.37,9,119.26
416,Sophia Martinez,2021,9.19,3,3,6,1,0,5.87,93.63,10,131.69
417,Michael Garcia,2021,2.16,2,2,4,2,1,0.99,56.07,3,73.22
418,David Garcia,2020,2.13,2,0,2,4,0,7.34,38.59,6,62.06
419,Alex Garcia,2020,2.62,1,4,1,7,0,8.72,89.93,9,123.27
420,Jane Miller,2021,8.87,3,4,2,7,0,8.63,90.91,8,132.41
421,Emily Garcia,2020,7.86,3,3,3,1,1,2.32,66.44,9,96.62
422,David Smith,2021,8.16,2,0,6,2,1,5.19,72.58,1,97.93
423,John Jones,2021,2.92,3,5,2,0,0,1.5,47.57,4,65.99
424,Laura Miller,2020,9.96,1,1,6,6,1,4.24,81.82,10,121.02
425,John Brown,2021,7.35,3,2,4,1,1,6.72,92.05,5,122.12
426,John Williams,2021,9.12,3,4,4,7,0,9.56,40.75,3,80.43
427,Jane Martinez,2020,9.69,2,4,5,7,1,1.67,47.6,10,87.96
428,Jane Williams,2021,3.93,2,1,5,0,1,5.38,59.74,8,86.05
429,Chris Martinez,2020,9.33,2,3,1,4,1,5.54,86.83,4,116.7
430,John Miller,2021,3.06,1,3,5,0,0,8.84,26.62,9,56.52
431,Emily Garcia,2021,9.75,0,0,3,3,1,5.93,88.84,6,117.52
432,Michael Garcia,2021,3.05,0,1,3,2,0,2.28,36.24,1,48.57
433,Michael Jones,2021,8.52,3,3,1,7,0,9.72,23.98,5,61.22
434,Michael Williams,2021,2.85,0,4,1,4,1,9.93,90.23,6,119.01
435,Jane Jones,2020,7.2,1,2,4,7,1,7.05,31.34,7,67.59
436,Sophia Garcia,2021,3.18,3,1,6,1,1,0.99,95.88,2,114.05
437,John Davis,2020,7.69,3,4,2,0,1,1.32,90.66,8,117.67
438,Sarah Johnson,2020,7.63,0,0,2,6,1,0.5,57.6,3,77.73
439,Emily Smith,2020,2.37,2,1,1,6,0,8.57,90.87,10,121.81
440,Sophia Brown,2021,6.31,3,5,1,6,0,2.71,82.38,8,114.4
441,Sophia Smith,2021,9.67,1,3,5,4,1,5.33,53.63,1,83.63
442,John Davis,2020,9.27,2,3,3,6,0,2.88,28.68,1,55.83
443,Sophia Martinez,2021,7.95,1,3,3,7,0,5.66,56.87,4,88.48
444,Chris Williams,2020,4.82,0,3,2,3,0,0.54,50.6,1,64.96
445,Jane Johnson,2021,7.67,0,2,6,3,0,7.41,40.98,1,68.06
446,Laura Williams,2020,7.2,2,2,1,1,1,2.75,34.62,8,59.57
447,Chris Miller,2021,3.49,0,0,1,6,0,1.7,46.74,7,65.93
448,David Rodriguez,2020,6.44,0,3,4,5,0,7.29,73.31,5,104.04
449,Chris Williams,2021,7.4,1,4,6,6,1,7.42,69.88,5,107.7
450,David Williams,2020,2.69,0,3,4,2,0,0.56,62.77,4,79.02
451,Sophia Johnson,2020,4.54,1,0,5,3,0,9.84,93.65,4,121.03
452,David Rodriguez,2020,8.91,1,3,4,1,0,2.01,98.4,2,120.32
453,David Rodriguez,2020,9.22,3,1,3,0,0,8.39,80.95,4,109.56
454,Laura Rodriguez,2021,9.09,1,4,3,5,1,6.89,21.44,1,52.42
455,Alex Smith,2020,1.29,0,5,1,0,1,3.83,89.44,1,102.56
456,David Brown,2020,4.05,2,1,4,4,0,1.04,39.57,7,62.66
457,Sarah Rodriguez,2021,6.27,3,3,1,3,1,5.04,83.69,1,107
458,John Smith,2020,7.77,0,0,2,0,1,8.42,20.47,2,41.66
459,Jane Davis,2021,4.12,1,0,5,7,0,4.38,26.92,8,56.42
460,Chris Johnson,2021,2.45,0,0,6,4,1,6.94,42.14,1,63.53
461,Alex Jones,2021,4.36,3,1,5,6,0,3.05,85.75,10,118.16
462,Michael Smith,2020,7.75,2,3,3,3,1,8.38,40.42,6,74.55
463,Michael Rodriguez,2020,3.05,0,4,4,3,0,3.88,23.05,6,46.98
464,Alex Johnson,2021,7.7,2,4,3,6,1,4.22,40.64,5,73.56
465,Sophia Rodriguez,2021,2.05,1,3,4,1,1,3.02,69.8,4,88.87
466,Jane Garcia,2020,7.78,1,4,5,4,0,0.95,30.97,5,58.7
467,Laura Smith,2021,8.72,0,0,4,5,0,0.73,36.21,7,61.66
468,David Williams,2020,2.51,0,4,2,4,1,9.54,79.37,9,111.42
469,Sarah Jones,2021,3.13,3,2,4,0,1,2.75,22.78,4,42.66
470,Sarah Smith,2020,4.4,0,0,2,6,1,1.14,84.73,7,106.27
471,Alex Smith,2020,1.22,3,1,2,5,1,9.59,65.95,8,96.76
472,Laura Smith,2021,9.43,0,1,1,7,1,6.13,79.32,8,112.88
473,Sarah Williams,2020,1.52,0,2,4,3,1,7.64,67.41,10,96.57
474,John Johnson,2021,6,3,4,3,4,1,0.65,69.73,9,100.38
475,John Brown,2021,4.77,1,2,2,4,1,4.76,94.61,10,124.14
476,Alex Johnson,2021,2.11,2,2,1,2,1,7.96,72.99,2,93.06
477,Sophia Johnson,2020,5.13,0,1,2,2,1,9.48,41.43,9,71.04
478,Sophia Smith,2021,1.71,0,3,5,3,1,5.67,39.83,6,65.21
479,Michael Davis,2021,3.05,0,5,6,7,0,8.98,49.36,4,83.39
480,Laura Jones,2020,6.08,3,1,2,4,0,3.92,88.23,1,109.23
481,Sarah Rodriguez,2020,3.18,3,5,4,1,1,4.65,61.22,6,89.05
482,John Miller,2020,3.1,2,4,2,3,1,8.39,47.1,5,75.59
483,Chris Jones,2020,8.45,1,0,3,6,1,9.26,86.56,5,120.27
484,Sarah Rodriguez,2021,1.84,1,3,4,4,0,2.24,35.23,6,57.31
485,John Garcia,2021,1.91,0,0,3,2,0,7.58,28.67,4,47.16
486,Sarah Miller,2021,2.61,3,0,2,2,0,9.25,67.35,5,91.21
487,Chris Martinez,2021,4.52,2,5,4,4,0,5.85,92.7,8,126.07
488,Alex Johnson,2021,7.34,2,1,3,3,1,1.43,66.63,5,90.4
489,Emily Brown,2021,8.78,2,0,3,0,0,1.41,96.37,10,121.56
490,John Smith,2021,2.76,1,0,2,2,0,6.76,85.01,3,102.53
491,David Miller,2020,6.08,3,3,3,6,0,0.86,96.6,5,123.54
492,Jane Williams,2021,9.87,2,1,6,7,0,3.21,93.02,6,128.1
493,Michael Williams,2021,4.21,3,3,2,2,0,6.47,48.67,5,74.35
494,Chris Brown,2021,2.15,3,5,1,2,0,1.81,37.6,7,59.56
495,Sarah Brown,2021,1.04,2,5,5,0,0,1.89,90.37,9,114.3
496,Chris Jones,2021,3.2,1,4,2,7,1,8.07,92.28,1,119.55
497,John Davis,2020,3.38,1,2,6,6,1,9.77,96.41,6,131.56
498,Sophia Johnson,2020,5.26,3,1,3,2,1,5.54,56.53,2,79.33
499,John Williams,2021,4.25,0,2,5,1,0,5.51,55.3,6,79.06
500,John Jones,2020,9.26,2,5,1,4,0,9.13,56.81,4,91.2
501,Alex Davis,2021,3.65,0,5,1,0,0,7.97,91.09,3,111.71
502,Sophia Rodriguez,2021,7.8,0,3,2,2,0,4.33,96.23,3,118.36
503,Michael Miller,2021,5.2,2,0,3,2,0,3.39,96.8,2,114.39
504,John Jones,2020,2.69,1,1,1,5,1,7.15,48.82,1,68.66
505,David Miller,2021,2.04,0,1,3,6,0,4.55,63.83,3,83.42
506,Jane Brown,2021,9.81,0,5,1,1,0,7.06,55.33,8,87.2
507,Chris Rodriguez,2020,7.4,3,1,6,0,0,4.52,36.76,10,68.68
508,John Garcia,2021,6.69,2,5,4,4,1,1.52,78.15,10,112.36
509,David Rodriguez,2020,7.22,3,5,4,7,1,3.35,26.71,8,65.28
510,Emily Miller,2021,4.01,1,4,2,7,0,3.42,20.64,1,43.07
511,Alex Davis,2020,3.78,1,1,4,4,0,2.52,87.02,2,105.32
512,Michael Martinez,2020,3.94,2,1,4,2,0,4.18,42.6,2,61.72
513,Jane Johnson,2021,7.6,3,1,4,5,1,0.61,58.45,1,81.66
514,John Rodriguez,2021,7.98,3,3,2,2,1,8.76,84.71,7,119.45
515,Jane Martinez,2020,9.74,3,0,5,7,1,1.17,45.66,1,73.57
516,Sarah Rodriguez,2020,3.21,2,0,5,5,0,4.95,83,8,111.16
517,Michael Rodriguez,2020,5.6,1,5,3,2,1,3.26,21.44,4,46.3
518,Laura Martinez,2021,9.96,0,4,6,7,0,3.68,82.44,2,115.08
519,Laura Davis,2020,8.81,3,0,5,4,0,4.83,91.48,9,126.12
520,David Johnson,2021,3.81,0,1,3,4,1,2.99,29.03,4,48.83
521,Sophia Williams,2021,4.24,1,0,5,1,1,3.56,26.11,1,42.91
522,Michael Rodriguez,2020,4.51,0,1,1,6,1,3.32,55.11,7,78.94
523,Laura Garcia,2021,6.34,0,3,4,4,0,0.55,83.97,7,108.86
524,Michael Martinez,2020,1.77,2,0,3,0,1,8.02,33.13,7,55.92
525,Michael Smith,2020,6.19,2,5,5,6,1,4.7,23.78,10,63.67
526,Emily Martinez,2021,1.31,2,1,2,5,1,8.7,31.19,1,53.2
527,Sophia Miller,2020,8.2,1,2,6,2,1,2,71.31,6,99.51
528,Alex Garcia,2021,4.07,3,5,3,6,1,6.51,74.47,3,106.05
529,Jane Jones,2021,9.05,1,2,6,1,1,5.22,20.94,4,50.21
530,Laura Smith,2020,3.24,0,1,4,2,0,2.71,29.44,4,46.39
531,Sarah Miller,2021,7.38,0,4,5,5,0,8.1,84.51,6,119.99
532,John Miller,2021,3.23,2,2,3,1,0,7.04,36.6,5,59.87
533,Emily Davis,2020,1.73,3,4,6,3,1,9.28,20.84,10,58.85
534,Jane Miller,2021,3.25,1,3,5,4,0,4.79,20.71,2,43.75
535,Michael Williams,2021,5.84,3,2,3,4,1,2.27,39.35,2,62.46
536,Laura Miller,2021,8.02,3,4,1,0,1,1.33,93.56,9,120.91
537,Laura Rodriguez,2021,7.08,3,0,4,1,1,1.29,91.43,9,117.8
538,David Rodriguez,2021,1.01,1,2,4,7,1,5.19,69.4,5,95.6
539,Sarah Davis,2020,1.36,3,0,2,4,0,9.23,59.84,5,84.43
540,John Jones,2021,3.42,2,2,6,2,0,2.49,94.01,7,118.92
541,Alex Williams,2021,7.75,3,0,4,5,1,9.47,30.21,3,63.43
542,Alex Brown,2021,5.12,3,4,2,1,1,6.43,33.12,3,58.67
543,Chris Jones,2020,6.54,3,4,2,4,1,7.86,58.54,3,89.94
544,Chris Davis,2020,3.03,0,0,4,2,0,6.23,47.1,7,69.36
545,Michael Johnson,2021,1.67,3,0,3,6,0,7.85,63.13,8,92.65
546,Sophia Jones,2021,8.97,1,5,1,3,0,3.15,33.24,5,60.36
547,David Garcia,2020,6.3,1,0,6,2,0,0.8,49.72,10,75.82
548,Sophia Miller,2021,2.34,3,1,2,3,0,2.21,58.75,9,81.3
549,David Jones,2020,1.44,2,4,5,3,0,6.11,85.73,5,112.28
550,Sarah Martinez,2020,6.58,0,3,3,4,1,1.01,71.43,7,97.02
551,Jane Garcia,2021,6.16,0,4,2,7,1,7.53,70.35,8,106.04
552,Alex Johnson,2021,9.69,0,2,1,7,0,4.78,83.76,10,118.23
553,Sarah Davis,2020,2.58,2,2,4,7,0,8.73,91.91,10,128.22
554,Michael Smith,2021,1.4,0,1,2,0,1,1.95,40.51,5,52.86
555,John Martinez,2021,5.53,0,3,4,4,1,0.68,27.94,4,50.15
556,Jane Davis,2020,9.54,2,5,2,3,0,6.19,79.6,3,110.33
557,Laura Davis,2020,7.72,2,3,2,4,1,4.41,62.68,6,92.81
558,Michael Brown,2021,3.61,3,4,2,2,0,6.65,69.2,4,94.46
559,Laura Garcia,2021,7.76,2,0,6,2,0,8.35,37.39,4,67.5
560,Sarah Jones,2020,3.54,3,2,6,7,1,7.86,48.37,5,83.77
561,Chris Johnson,2020,7.09,1,5,6,2,0,8.97,41.12,2,73.18
562,Alex Williams,2020,2.7,3,1,3,1,0,7.41,70.35,3,91.46
563,John Johnson,2020,5.01,1,4,2,3,1,1.4,64.76,7,89.17
564,Sarah Brown,2021,2.18,0,5,6,0,1,3.6,90.61,7,115.39
565,Alex Johnson,2021,6.95,3,4,2,2,1,3.47,70.81,10,103.23
566,David Smith,2021,4.84,1,3,1,4,0,9.04,34.08,5,61.96
567,Laura Rodriguez,2020,9.78,2,0,4,3,0,8.31,25.65,3,55.74
568,Jane Davis,2020,4.8,3,2,4,5,0,5.1,33.86,2,59.76
569,Emily Miller,2021,3.55,0,1,6,6,1,7.56,89.01,4,118.12
570,Jane Davis,2021,8.44,2,4,5,0,0,1.45,94.81,7,122.7
571,Emily Brown,2021,2.39,3,1,6,5,1,1.64,82.9,6,108.93
572,Sophia Johnson,2020,4.53,3,4,4,1,0,8.29,69.76,1,95.58
573,Laura Miller,2021,9.83,2,4,5,7,0,1.13,76.86,1,106.82
574,Sophia Davis,2021,5.13,1,3,2,2,1,2.75,76.78,1,94.66
575,Alex Jones,2020,9.12,3,0,4,4,0,6.35,66.87,6,99.34
576,Laura Martinez,2021,4.45,0,5,5,6,1,4.76,22.73,4,52.94
577,Jane Williams,2020,9.77,1,4,2,6,1,6.21,75.14,10,115.12
578,David Garcia,2020,8.47,3,4,3,6,1,3.59,93.59,2,124.65
579,Chris Miller,2020,9.83,0,4,5,1,1,8.21,69.18,9,107.22
580,Jane Garcia,2020,8.45,3,2,6,7,0,5.21,43.69,2,77.35
581,Alex Rodriguez,2020,4.77,2,3,6,5,0,3.9,38.33,5,68
582,Emily Davis,2021,1.86,0,2,1,1,1,2.75,32.99,8,50.6
583,David Martinez,2020,3.43,3,3,2,6,0,4.17,42.2,1,64.8
584,Emily Williams,2021,2.43,2,1,5,2,0,2.3,91.95,8,114.68
585,Alex Rodriguez,2020,8.84,1,5,3,7,0,4.98,82.11,4,115.93
586,David Davis,2020,6.39,1,5,4,3,1,6.07,38.52,8,72.98
587,Alex Rodriguez,2020,5.03,2,2,5,5,0,3.18,77.03,2,101.24
588,Sophia Johnson,2020,3.92,0,4,6,3,0,1.4,59.68,6,84
589,Laura Brown,2020,6.7,0,2,3,3,0,6.75,90.68,5,117.13
590,David Davis,2021,2.18,0,2,1,0,0,2.34,68.18,8,83.7
591,Emily Miller,2021,9.93,3,5,5,0,1,6.85,43.71,2,76.49
592,Alex Brown,2021,6.18,1,1,5,4,1,2.13,60.06,3,83.37
593,John Garcia,2021,4.68,2,3,4,5,1,8.29,67.46,7,102.43
594,Chris Rodriguez,2020,9.44,3,2,1,0,1,9.85,78.99,10,115.28
595,Emily Martinez,2021,3.85,2,2,3,6,0,5.43,58.36,5,85.64
596,David Garcia,2020,9.71,0,3,6,3,0,7.75,82.51,10,121.97
597,Michael Brown,2021,8.45,0,0,4,5,1,6.39,73.93,8,106.77
598,Emily Jones,2020,4.27,1,1,4,2,1,2.34,53.61,8,77.22
599,Michael Rodriguez,2020,1.47,0,5,5,6,1,6.59,74.8,2,101.86
600,Emily Smith,2020,6.8,1,0,6,2,0,8.04,50.4,2,76.24
601,Emily Miller,2021,4.59,3,2,2,5,0,4.8,42.07,8,71.46
602,Sarah Williams,2020,1.38,0,5,4,0,0,8.95,57.79,9,86.12
603,Laura Rodriguez,2021,9.36,1,0,5,0,0,2.16,73.53,5,96.05
604,Sophia Garcia,2021,8.19,3,2,2,0,0,9.2,25.09,2,51.48
605,Emily Martinez,2021,4.69,3,4,5,3,0,9.2,93.93,4,126.82
606,Sarah Garcia,2020,3.39,0,2,5,3,1,3.34,63.12,2,82.85
607,Jane Smith,2021,4.34,1,2,6,3,0,2.63,50.89,6,75.86
608,Sophia Johnson,2021,9.7,0,3,5,0,0,7.18,70.46,10,105.34
609,Sophia Johnson,2021,2.52,3,4,6,6,1,3.44,78.54,6,110.5
610,Jane Martinez,2021,6.95,2,2,3,7,0,4.51,58.22,5,88.68
611,Alex Martinez,2021,9.4,1,1,1,7,0,1.62,69.97,1,91.99
612,Michael Jones,2021,5.9,3,3,3,0,0,1.74,84.57,10,111.21
613,Sarah Miller,2020,4.41,0,0,4,4,1,3.95,79.67,5,102.03
614,Emily Miller,2020,9.33,0,0,4,2,1,0.67,29.47,1,47.47
615,John Davis,2021,7.49,0,4,2,0,1,1.08,47.13,9,71.7
616,Michael Brown,2021,9.72,1,3,2,6,1,0.54,45.9,8,77.16
617,Chris Johnson,2020,2.26,3,0,6,2,0,9.05,89.32,2,113.63
618,Sophia Garcia,2021,5.06,2,4,2,6,1,8.97,84.48,3,116.51
619,Alex Brown,2021,5.77,1,5,3,0,1,0.62,56.61,10,83
620,Jane Jones,2020,2.16,0,4,1,2,0,3.19,96.38,6,114.73
621,Laura Miller,2020,7.72,2,2,1,6,0,4.02,21.5,6,50.24
622,David Jones,2021,1.31,3,3,2,2,1,9.68,47.29,6,75.28
623,Emily Williams,2021,7.69,3,3,5,7,0,6.08,56.93,9,97.7
624,Alex Brown,2020,6.21,1,2,3,5,1,0.54,59.41,4,82.16
625,Laura Miller,2020,4.5,2,4,1,1,1,5.37,97.31,8,124.18
626,Chris Johnson,2021,1.54,0,1,6,5,0,3.97,52.45,8,77.96
627,David Johnson,2020,7.8,3,2,4,4,1,7.13,80.61,6,115.54
628,Laura Smith,2020,1.75,2,0,3,6,1,2.61,92.21,2,110.57
629,Michael Williams,2021,7.85,2,1,6,4,0,1.87,59.47,8,90.19
630,Alex Martinez,2020,9.2,0,5,2,5,1,9.04,38.29,2,71.53
631,Chris Williams,2021,1.07,2,0,4,6,0,4.55,77.61,3,98.23
632,Sophia Martinez,2020,1.77,0,3,5,7,0,7.39,39.87,9,73.03
633,Emily Johnson,2020,5.65,0,1,6,0,0,1.63,93.29,2,109.57
634,Sophia Brown,2020,9.73,0,2,2,1,1,4.24,97.56,9,126.53
635,Chris Rodriguez,2021,8.96,3,1,5,7,0,5.93,29.47,3,63.36
636,Alex Miller,2020,5.48,1,5,2,7,1,5.68,93.12,10,130.28
637,John Garcia,2021,1.93,2,3,6,0,1,0.62,81.76,8,104.31
638,Michael Johnson,2021,8.37,2,1,5,4,1,9.86,69.97,8,109.2
639,Laura Miller,2021,4.27,2,4,1,6,1,6.36,96.02,10,130.65
640,Michael Miller,2021,1.48,3,2,4,0,1,1.91,73.22,10,96.61
641,Alex Garcia,2020,4.67,1,2,3,0,1,7.37,24.21,5,48.25
642,David Miller,2020,1.42,0,1,6,4,1,9.81,45.55,9,77.78
643,Chris Smith,2021,7.66,2,3,6,3,0,2.33,64.97,6,94.96
